year,class,rank,bib,team,time,time_seconds,source_url
2025,bedrift og mosjonslag mix flest menn,1059,9612,DXC BIL Oslo (DXC Technology AS),1:19:15,4755.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1060,7059,Oda Social Team 3 (Oda Group Services),1:19:15,4755.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1061,7911,Nettbil 1 (Nettbil),1:19:15,4755.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1062,6250,KPMG Innlandet (KPMG AS),1:19:15,4755.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1063,11872,Asplan Viak 2 (Asplan Viak AS),1:19:16,4756.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1064,7085,Compello (Compello AS),1:19:16,4756.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1065,8417,Ung i SP (Sykehuspartner),1:19:16,4756.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1066,8093,Lillestrøm VGS 1 (Lillestrøm videregående skole),1:19:16,4756.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1067,10631,Landkreditt 2 (Landkreditt),1:19:16,4756.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1068,8647,Nimble Diffians (Diffia AS),1:19:17,4757.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1069,8890,Borregaard 1 (Borregaard),1:19:17,4757.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1070,6025,DNB-MajorØkern (DNB),1:19:17,4757.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1071,7710,RiksTV,1:19:18,4758.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1072,8690,HENT AS A-blokka (HENT AS),1:19:18,4758.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1073,7416,TEAM LILLY (Eli Lilly Norge AS),1:19:18,4758.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1074,7235,Infor Runners (Infor Norge AS),1:19:18,4758.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1075,7853,Akershus fylkeskommune SAMF 1 (Akershus fylkeskommune SAMF),1:19:18,4758.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1076,10500,Nadderud vgs,1:19:18,4758.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1077,10613,Rambøll Drammen (Rambøll Norge AS),1:19:19,4759.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1078,8012,Materials & Testing (DNV),1:19:19,4759.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1079,6023,DNB Autolease Accelerators (DNB),1:19:19,4759.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1080,11239,Idrettens Hus Tromsø,1:19:20,4760.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1081,11602,Equinor Bil Oslo 1 (Equinor),1:19:20,4760.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1082,7024,Inventas Øst (Inventas AS),1:19:21,4761.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1083,8463,Allnex Dream Team (Dynea/Allnex BIL 2),1:19:21,4761.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1084,6651,Team Northcom (Northcom AS),1:19:22,4762.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1085,7684,BAKER TILLY GRIMSRUD & CO. ANS,1:19:23,4763.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1086,7658,Team Hesselberg (Hesselberg AS),1:19:23,4763.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1087,10611,Rambøll Vann og venner (Rambøll Norge AS),1:19:23,4763.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1088,12242,Team058,1:19:24,4764.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1089,7229,Gyldendal Hare (Gyldendal Norsk Forlag),1:19:24,4764.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1090,8705,Høyesterett,1:19:25,4765.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1091,7889,BekkeLAGET (Harald A Møller),1:19:26,4766.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1092,6246,KPMG AS CFO A(re) 3 (KPMG AS),1:19:27,4767.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1093,7057,REITAN RETAIL – REMA 1000 RD 1 (REITAN RETAIL),1:19:27,4767.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1094,7011,Visma Amili (Visma Amili AS),1:19:28,4768.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1095,7437,Lime Technologies (Lime Technologies AS),1:19:28,4768.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1096,11047,Oljeskattekontoret,1:19:29,4769.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1097,10024,Team Melius (Melius Consulting AS),1:19:30,4770.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
